"","Staat","Varianz"
"1","Alaska",21.4203413940256
"2","District of Columbia",20.7318634423898
"3","New Mexico",20.3328591749644
"4","New York",18.4153627311522
"5","Illinois",16.373399715505
"6","Washington",14.0426742532006
"7","Vermont",13.6842105263158
"8","Utah",13.3911806543385
"9","California",11.0220483641536
"10","Delaware",10.9160739687055
"11","Nevada",10.1827880512091
"12","Hawaii",9.47439544807966
"13","Wyoming",8.88762446657183
"14","South Dakota",8.78591749644381
"15","Rhode Island",8.71194879089616
"16","Massachusetts",8.29302987197724
"17","Montana",8.20839260312944
"18","Arizona",8.19985775248933
"19","Mississippi",8.05405405405405
"20","Connecticut",8.04623044096728
"21","Louisiana",7.79302987197724
"22","Oklahoma",7.7126600284495
"23","Maine",7.69630156472262
"24","Idaho",7.64793741109531
"25","Oregon",7.60455192034139
"26","Florida",7.19843527738265
"27","Kansas",6.9651493598862
"28","Nebraska",6.70839260312944
"29","Minnesota",6.4701280227596
"30","Indiana",6.46657183499289
"31","Colorado",6.1827880512091
"32","Michigan",6.12304409672831
"33","New Hampshire",5.96870554765292
"34","West Virginia",5.87553342816501
"35","Virginia",5.86415362731152
"36","Texas",5.75817923186344
"37","New Jersey",5.30583214793741
"38","Alabama",5.28093883357041
"39","Ohio",5.21194879089616
"40","South Carolina",5.09601706970128
"41","North Dakota",4.99573257467994
"42","Tennessee",4.83357041251778
"43","Arkansas",4.78520625889047
"44","Iowa",4.69985775248933
"45","North Carolina",4.61735419630156
"46","Pennsylvania",4.44736842105263
"47","Maryland",4.40682788051209
"48","Georgia",4.32147937411095
"49","Wisconsin",4.28520625889047
"50","Missouri",4.24537695590327
"51","Kentucky",4.19630156472262
